axon_id,g_ratio,axon_area_px,myelin_area_px,cx,cy,equiv_radius_px
9,0.5996,298,531,476.5,5.2,9.7
12,0.5740,316,643,749.4,7.9,10.0
18,0.7092,250,247,589.2,16.3,8.9
19,0.5419,345,830,628.4,19.7,10.5
22,0.5328,475,1198,236.0,24.0,12.3
27,0.5502,510,1175,374.7,28.8,12.7
30,0.7219,283,260,442.3,28.6,9.5
32,0.7420,2000,1633,695.1,47.5,25.2
33,0.7646,290,206,269.2,39.2,9.6
34,0.6392,355,514,303.4,40.4,10.6
38,0.5519,723,1651,79.7,51.0,15.2
41,0.5183,960,2613,526.8,56.1,17.5
42,0.4985,203,614,399.5,55.6,8.0
47,0.6013,456,805,34.5,67.8,12.0
52,0.5930,562,1036,117.8,70.3,13.4
57,0.6247,988,1544,460.1,77.8,17.7
58,0.6632,201,256,157.5,70.1,8.0
61,0.8268,1599,740,610.9,90.6,22.6
65,0.6693,922,1136,359.3,85.4,17.1
67,0.7128,252,244,230.6,79.1,9.0
70,0.5024,599,1774,735.4,86.1,13.8
77,0.6027,449,787,795.4,96.2,12.0
79,0.6281,520,798,153.0,107.3,12.9
80,0.6759,254,302,190.3,103.5,9.0
81,0.6917,888,968,682.0,109.2,16.8
82,0.7892,2502,1515,91.3,120.6,28.2
83,0.7151,1373,1312,273.0,112.4,20.9
84,0.7357,289,245,215.3,105.7,9.6
87,0.5185,819,2227,401.3,127.2,16.1
88,0.5745,303,615,755.5,121.5,9.8
90,0.6468,241,335,227.6,125.4,8.8
92,0.4350,201,861,525.5,127.9,8.0
98,0.7969,1303,749,705.1,153.2,20.4
101,0.6292,213,325,151.2,147.9,8.2
103,0.5915,218,405,278.2,149.5,8.3
106,0.5435,485,1157,325.4,156.8,12.4
107,0.6167,1030,1678,426.3,161.5,18.1
108,0.6691,637,786,657.2,167.2,14.2
109,0.5289,332,855,759.7,161.2,10.3
110,0.5862,289,552,802.6,161.1,9.6
115,0.4633,413,1511,508.4,169.6,11.5
116,0.6885,1311,1455,223.9,183.2,20.4
119,0.8210,730,353,120.7,181.4,15.2
120,0.7078,1009,1005,579.8,188.6,17.9
121,0.7879,478,292,29.9,183.0,12.3
123,0.5169,252,691,67.7,183.4,9.0
124,0.6763,300,356,370.9,186.7,9.8
128,0.7312,224,195,696.7,189.9,8.4
131,0.7447,1239,995,308.0,201.8,19.9
135,0.5460,243,572,721.3,201.8,8.8
136,0.7759,664,439,752.5,208.4,14.5
137,0.7203,1501,1392,633.1,217.7,21.9
143,0.6292,422,644,535.2,216.2,11.6
148,0.7046,346,351,61.7,221.1,10.5
156,0.6057,437,754,117.2,234.3,11.8
159,0.8457,811,323,191.0,240.4,16.1
163,0.5263,272,710,417.4,235.0,9.3
164,0.7257,958,861,252.6,244.8,17.5
165,0.6897,1142,1259,697.3,245.4,19.1
167,0.6788,247,289,5.0,244.1,8.9
168,0.7308,313,273,80.2,242.2,10.0
172,0.7485,288,226,343.8,245.0,9.6
181,0.7071,215,215,770.7,258.8,8.3
184,0.6587,873,1139,508.9,270.4,16.7
187,0.5770,619,1240,416.0,278.0,14.0
188,0.5495,292,675,172.4,268.8,9.6
190,0.7953,272,158,291.4,273.2,9.3
191,0.6422,1572,2240,356.1,293.3,22.4
194,0.5326,200,505,128.8,275.2,8.0
197,0.7059,300,302,214.5,280.8,9.8
198,0.6353,467,690,643.6,282.8,12.2
199,0.6947,1038,1113,699.5,291.4,18.2
200,0.6356,200,295,49.1,284.1,8.0
202,0.7692,355,245,747.1,291.2,10.6
206,0.5917,354,657,11.3,294.4,10.6
207,0.7937,1251,735,145.2,308.0,20.0
208,0.7685,1082,750,283.7,303.5,18.6
210,0.7471,917,726,235.9,302.9,17.1
219,0.6756,272,324,612.0,306.3,9.3
227,0.6682,321,398,104.5,324.2,10.1
232,0.6595,291,378,626.0,326.4,9.6
233,0.4928,230,717,508.8,327.0,8.6
236,0.8218,1086,522,9.7,350.4,18.6
237,0.6437,808,1142,233.9,334.5,16.0
239,0.6220,472,748,670.9,335.4,12.3
240,0.6370,702,1028,737.8,339.2,14.9
242,0.5663,338,716,69.0,334.8,10.4
248,0.7479,297,234,275.8,345.6,9.7
250,0.4999,621,1864,587.0,352.9,14.1
255,0.7005,319,331,369.0,352.9,10.1
256,0.7036,607,619,474.4,357.6,13.9
258,0.6151,1200,1972,144.2,364.3,19.5
259,0.6198,403,646,774.4,360.3,11.3
266,0.5327,393,992,241.0,367.0,11.2
268,0.4422,264,1086,643.7,370.0,9.2
270,0.6829,790,904,297.9,380.6,15.9
273,0.7077,919,916,405.7,386.4,17.1
279,0.7031,262,268,84.4,386.3,9.1
283,0.5316,594,1508,692.0,394.7,13.8
284,0.6806,233,270,9.0,393.6,8.6
290,0.7323,1679,1452,226.6,413.4,23.1
298,0.6279,414,636,277.8,417.7,11.5
300,0.6664,453,567,333.3,419.7,12.0
301,0.5854,838,1607,116.5,425.4,16.3
303,0.5079,274,788,736.5,423.1,9.3
305,0.7426,386,314,782.9,428.3,11.1
306,0.9101,5531,1146,646.0,455.8,42.0
307,0.6582,714,934,376.0,434.3,15.1
308,0.7467,1031,818,18.0,442.7,18.1
313,0.7117,232,226,563.8,440.3,8.6
316,0.6845,552,626,193.7,451.9,13.3
317,0.7513,210,162,501.5,449.5,8.2
318,0.6968,438,464,233.8,456.6,11.8
319,0.7159,1046,995,763.5,464.3,18.2
322,0.5537,225,509,331.3,456.3,8.5
323,0.6082,1004,1710,445.3,463.4,17.9
325,0.7500,518,403,136.1,462.6,12.8
331,0.6876,234,261,711.5,466.2,8.6
334,0.7459,484,386,800.1,477.1,12.4
335,0.5577,371,822,569.2,474.6,10.9
336,0.6270,1125,1737,87.7,483.2,18.9
338,0.7036,691,705,204.1,484.1,14.8
341,0.5877,518,982,157.5,485.7,12.8
349,0.7170,531,502,413.8,496.5,13.0
351,0.5429,701,1677,486.0,504.0,14.9
352,0.6682,834,1034,314.9,508.8,16.3
361,0.6774,1743,2056,713.2,522.3,23.6
363,0.6000,284,505,553.5,505.6,9.5
364,0.4641,207,754,381.7,505.9,8.1
374,0.7046,565,573,763.1,522.9,13.4
375,0.5363,222,550,650.8,517.7,8.4
378,0.7365,754,636,611.9,528.6,15.5
381,0.5753,380,768,75.0,525.5,11.0
384,0.4952,563,1733,154.6,531.4,13.4
385,0.5060,201,584,523.7,527.4,8.0
387,0.7216,1354,1246,345.6,546.1,20.8
389,0.5243,232,612,418.5,537.7,8.6
390,0.5568,257,572,225.4,543.2,9.0
392,0.4532,214,828,563.0,542.6,8.3
395,0.6418,994,1419,790.2,555.8,17.8
397,0.4920,252,789,31.0,548.0,9.0
398,0.6910,202,221,250.0,551.1,8.0
399,0.5714,1172,2417,482.6,559.1,19.3
403,0.6903,223,245,66.5,556.3,8.4
409,0.6597,903,1172,157.1,578.7,17.0
410,0.6049,528,915,259.0,575.1,13.0
414,0.5849,337,648,556.3,573.4,10.4
416,0.6946,413,443,378.5,575.3,11.5
419,0.6037,230,401,80.4,576.9,8.6
420,0.6143,237,391,204.2,578.9,8.7
421,0.7415,508,416,111.5,588.9,12.7
422,0.6299,219,333,410.5,586.5,8.3
423,0.6486,244,336,343.2,586.9,8.8
424,0.6971,276,292,670.8,591.9,9.4
425,0.7058,521,525,7.6,598.9,12.9
429,0.8621,744,257,43.3,605.2,15.4
432,0.5343,690,1727,598.9,604.0,14.8
434,0.6185,521,841,705.7,610.1,12.9
438,0.6185,529,854,382.6,609.9,13.0
443,0.7298,948,832,478.0,630.5,17.4
445,0.4598,406,1514,328.1,618.5,11.4
446,0.7908,910,545,788.3,627.5,17.0
450,0.5512,274,628,167.7,627.1,9.3
451,0.4827,254,836,744.9,628.0,9.0
454,0.6130,1137,1889,416.9,642.8,19.0
458,0.6672,937,1168,279.1,649.0,17.3
459,0.8305,360,162,530.5,639.9,10.7
466,0.6895,358,395,562.7,646.2,10.7
467,0.6959,263,280,211.7,645.0,9.1
468,0.7855,1076,668,683.1,656.6,18.5
476,0.6176,381,618,105.8,656.1,11.0
481,0.6658,246,309,7.9,665.2,8.8
484,0.4858,435,1408,326.7,670.3,11.8
485,0.7539,532,404,644.5,674.7,13.0
487,0.7034,471,481,813.5,676.9,12.2
488,0.6163,275,449,768.1,671.0,9.4
489,0.7310,614,535,164.2,678.5,14.0
494,0.6780,605,711,457.9,683.7,13.9
495,0.5298,785,2012,572.6,688.5,15.8
498,0.5870,430,818,99.0,689.7,11.7
499,0.7161,825,784,204.6,695.6,16.2
502,0.6635,276,351,531.0,696.2,9.4
503,0.6767,337,399,348.0,707.8,10.4
512,0.7575,645,479,124.2,719.4,14.3
516,0.7440,1653,1333,424.9,726.9,22.9
519,0.7291,261,230,675.3,719.1,9.1
520,0.5801,1191,2348,27.5,726.4,19.5
523,0.7249,299,270,528.1,720.4,9.8
529,0.7270,278,248,648.8,729.0,9.4
536,0.5921,1020,1889,259.3,745.2,18.0
538,0.4947,619,1910,168.8,743.4,14.0
543,0.7607,250,182,541.1,743.4,8.9
544,0.6570,221,291,559.4,742.7,8.4
545,0.4962,245,750,340.3,740.5,8.8
547,0.5315,583,1481,702.5,747.0,13.6
