axon_id,g_ratio,axon_area_px,myelin_area_px,cx,cy,equiv_radius_px
1,0.6019,539,949,120.7,4.7,13.1
3,0.8080,5524,2937,375.8,38.8,41.9
5,0.7415,822,673,542.8,16.1,16.2
6,0.8366,13594,5827,691.4,44.7,65.8
7,0.5183,621,1691,886.7,5.5,14.1
8,0.5288,352,907,1132.9,4.6,10.6
9,0.6711,2178,2658,1195.4,32.0,26.3
10,0.7961,7507,4337,1490.4,37.7,48.9
11,0.8363,13811,5935,1340.2,68.5,66.3
12,0.5358,244,606,2.5,28.8,8.8
13,0.4784,208,701,171.7,13.3,8.1
14,0.5820,314,613,577.9,17.3,10.0
16,0.7209,1480,1368,53.7,45.2,21.7
17,0.7158,1392,1325,509.3,51.3,21.0
18,0.6761,3432,4076,253.9,68.9,33.1
19,0.5236,216,572,577.1,49.9,8.3
20,0.6236,2815,4423,118.4,76.8,29.9
21,0.7306,10410,9091,1012.4,95.8,57.6
22,0.5267,985,2566,1143.5,73.8,17.7
24,0.7025,7341,7533,425.8,146.5,48.3
25,0.6839,3432,3906,762.8,118.4,33.1
26,0.6075,903,1544,541.4,112.9,17.0
27,0.5771,343,687,842.4,105.3,10.4
28,0.5660,2076,4405,177.8,133.8,25.7
30,0.6492,1025,1407,1234.4,123.9,18.1
31,0.6827,3853,4415,21.4,161.5,35.0
32,0.5717,1338,2756,1158.4,139.8,20.6
33,0.7810,11682,7469,631.6,181.4,61.0
34,0.5945,310,567,820.0,138.8,9.9
35,0.6288,726,1110,1295.1,146.0,15.2
36,0.6941,9205,9901,1479.9,192.6,54.1
38,0.8244,18511,8728,1071.1,217.8,76.8
39,0.5268,731,1903,516.3,161.3,15.3
40,0.4269,443,1988,322.8,167.5,11.9
41,0.6479,1042,1440,1241.6,173.3,18.2
42,0.7239,8351,7587,858.3,210.0,51.6
43,0.6775,6076,7160,216.0,212.0,44.0
44,0.6505,1508,2056,958.4,208.5,21.9
45,0.6652,9294,11709,1325.5,248.8,54.4
47,0.7166,3435,3254,478.1,234.0,33.1
48,0.6389,1203,1744,1197.4,225.9,19.6
49,0.4559,202,770,82.0,221.8,8.0
50,0.5259,291,761,342.1,222.4,9.6
52,0.5840,572,1105,305.7,235.0,13.5
53,0.4859,327,1058,727.5,234.9,10.2
54,0.6607,743,959,56.2,247.6,15.4
55,0.6375,1330,1943,377.2,255.9,20.6
56,0.6382,617,898,553.1,253.3,14.0
57,0.6834,2467,2815,665.4,279.5,28.0
58,0.6271,613,946,129.6,267.1,14.0
60,0.5664,223,472,1531.0,271.1,8.4
61,0.6689,2058,2542,42.2,291.0,25.6
62,0.6961,1627,1731,749.8,293.0,22.8
63,0.6874,1067,1191,534.9,294.5,18.4
64,0.5771,480,961,392.9,291.4,12.4
65,0.6353,4598,6793,1176.2,320.4,38.3
66,0.5323,436,1103,1499.1,295.4,11.8
67,0.6282,586,899,947.5,296.3,13.7
68,0.7272,5400,4811,234.7,328.9,41.5
69,0.6488,1080,1486,470.0,306.4,18.5
70,0.4944,284,878,904.2,301.4,9.5
71,0.6650,2971,3747,1437.6,336.0,30.8
72,0.5667,203,429,122.2,311.3,8.0
73,0.7231,2255,2058,819.4,329.8,26.8
75,0.7202,3078,2856,356.4,363.2,31.3
76,0.5934,626,1152,128.8,347.9,14.1
