sample,neuron,pred_id,gt_id,axon_precision,axon_recall,axon_pred_px,axon_gt_px,myelin_precision,myelin_recall,myelin_pred_px,myelin_gt_px,g_pred,g_gt,segment_ms
sample_01,1,2,2,0.969,0.969,105927,105942,0.839,0.940,150292,134188,0.643,0.664,2428
sample_01,2,4,4,0.971,0.953,21792,22207,0.833,0.676,16901,20835,0.750,0.718,2428
sample_01,3,3,3,0.901,0.975,19096,17649,0.974,0.652,33280,49764,0.604,0.512,2428
sample_01,4,1,1,0.874,0.968,18225,16458,0.968,0.861,22687,25509,0.667,0.626,2428
sample_02,1,1,1,0.993,0.969,232488,238367,0.895,0.985,258485,234946,0.688,0.710,1327
sample_03,1,1,1,0.994,0.981,22064,22343,0.865,0.945,10737,9836,0.820,0.833,1223
sample_03,2,4,4,0.964,0.986,24822,24259,0.958,0.650,9805,14437,0.847,0.792,1223
sample_03,3,3,3,0.941,0.992,18354,17415,0.854,0.883,17263,16686,0.718,0.715,1223
sample_03,4,5,5,0.987,0.944,17554,18362,0.777,0.949,24182,19813,0.649,0.694,1223
sample_03,5,2,2,0.952,0.968,24231,23829,0.794,0.947,27863,23371,0.682,0.711,1223
